찬송가,새찬송가,찬송가 제목,새찬송가 제목,조표,박자,작곡자,속도
64,,지난 밤에 나 고요히,지난 밤 나 고요히,1b,4월 4일,F.J.Haydn,104
65,,생명의 빛 주 예수여,생명의 및 주 예수여,4b,3월 4일,H.S.Oakeley,96
66,58,지난 밤에 보호하사,지난 밤에 보호하사,2b,4월 4일,C.M.von Weber,보통으로
67,60,영혼의 햇빛 예수여,영혼의 햇빛 예수님,1b,3월 4일,Arr.K. Gesangbuch,보통으로
68,59,하나님 아버지 어둔 밤이 지나,하나님 아버지 어둔 밤이 지나,3b,4월 4일,M.du Plain Chant,보통으로
69,,나 가진 모든 것,나 가진 모든 것,4b,4월 4일,Arr.R.A.Shumann,100
70,634,모든 것이 주께로 부터,모든 것이 주께로부터,1#,4월 4일,Arr.L.V. Beethoven,보통으로
71,50,내게 있는 모든 것을,내게 있는 모든 것을,2#,4월 4일,W.S.Weeden,보통으로
72,49,하나님이 언약하신,하나님이 언약하신 그대로,3b,4월 4일,L.N.Morris,보통으로
73,73,내 눈을 들어 두루 살피니,내 눈을 들어 두루 살피니,1b,4월 4일,C.H.Purday,보통으로
74,74,오 만세 반석이신,오 만세 반석이신,2b,6월 4일,J.P.Holbrook,보통으로
75,78,저 높고 푸른 하늘과,저 높고 푸른 하늘과,4b,2월 2일,F.J.Haydn,보통으로
76,,저 해와 달과 별들이,저 해와 달과 별들이,4b,3월 4일,V.C.Taylor,104
77,,전능의 하나님,전능의 하나님,3b,4월 4일,A.f.lvov,104
78,478,참 아름다워라,참 아름다워라,3b,4월 4일,F.L.Sheppard,보통으로
79,70,피난처 있으니,피난처 있으니,1b,3월 4일,T. Musicus,보통으로
80,,주 하나님 크신 능력,주 하나님 크신 능력,3b,4월 4일,Scottish Psalter,104
81,,귀하신 주의 이름은,귀하신 주의 이름은,1#,3월 4일,J.B.Dydes,104
82,95,나의 기쁨 나의 소망되시며,나의 기쁨 나의 소망 되시며,2#,4월 4일,Arr.H.P.Main,보통으로
83,83,나의 맘에 수심 구름,나의 맘에 근심 구름,5b,4월 4일,J.B.Mackay,보통
84,134,나 어느 날 꿈속을 헤매며,나 어느 날 꿈속을 헤매며,1b,6월 8일,L. N. Morris,보통으로
85,85,구주를 생각만 해도,구주를 생각만 해도,1#,3월 4일,J.B.Dykes,보통으로
86,86,내가 참 의지하는 예수,내가 늘 의지하는 예수,1#,4월 4일,P.P.Bilhorn,보통으로
87,87,내 주님 입으신 그 옷은,내 주님 입으신 그 옷은,3b,6월 4일,H.Barraclough,보통으로
88,88,내 진정 사모하는,내 진정 사모하는,1b,4월 4일,Arr.by W.S.Hays,보통으로
89,89,샤론의 꽃 예수,샤론의 꽃 예수,2#,3월 4일,C.H.Gabriel,보통으로
90,82,성부의 어린양이,성부의 어린 양이,0,6월 4일,J.P.Holbrook,보통으로
91,91,슬픈 마음 있는 사람,슬픈 마음 있는 사람,4b,4월 4일,W.H.Doane,조금빠르게
92,398,어둠의 권세에서,어둠의 권세에서,1b,6월 8일,김연준,보통으로
93,93,예수는 나의 힘이요,예수는 나의 힘이요,4b,6월 8일,W.L.Thomson,보통으로
94,96,예수님은 누구신가,예수님은 누구신가,1b,4월 4일,J.J.Rousseau,보통으로
95,,온 세상이 어두워 캄캄하나,온 세상이 어두워 캄캄하나,1b,6월 8일,P.P.Bliss,54
96,84,온 세상이 캄캄하여서,온 세상이 캄캄하여서,3b,6월 8일,신정 찬송가,보통으로
97,92,위에 계신 나의 친구,위에 계신 나의 친구,2b,3월 4일,B.F.Butts,보통으로
98,90,주 예수 내가 알기 전,주 예수 내가 알기 전,4b,3월 4일,G.C.Stebbins,보통으로
99,,주 예수 내 죄 속하니,주 예수 내 죄 속하니,2#,4월 4일,E.A.Hoffman,104
100,,죄인 괴수 날 위해,죄인 괴수 날 위해,3b,3월 4일,Arr.J.P.Holbrook,104
101,101,천지에 있는 이름 중,천지에 있는 이름 중,1b,3월 4일,W.B.Bradbury,보통으로
102,94,주 예수보다 더 귀한 것은 없네,주 예수보다 더 귀한 것은 없네,5b,3월 4일,G.B.Shea,보통으로
103,,참 목자 우리 주,참 목자 우리 주,1b,4월 4일,E.Bunnett,104
104,104,곧 오소서 임마누엘,곧 오소서 임마누엘,1#,4월 4일,Arr.by T.Helmore,보통으로
105,105,오랫동안 기다리던,오랫동안 기다리던,1b,3월 4일,R.H.Prichared,보통으로
106,101,이 새의 뿌리에서,이새의 뿌리에서,1b,2월 2일,G. K.Koln,보통으로
107,102,영원한 문아 열려라,영원한 문아 열려라,2#,2월 2일,W. P. Evangelica,조금빠르게
108,,구주 탄생하심을,구주 탄생하심을,1#,4월 4일,H.A.C.Malan,100
109,109,고요한 밤 거룩한 밤,고요한 밤 거룩한 밤,2b,6월 8일,F.X.Gruber,보통으로
110,,공중에는 노래,공중에는 노래,1#,3월 4일,K.P.Harrigton,100
111,111,귀중한 보배합을,귀중한 보배합을,1b,6월 8일,신정 찬송가,보통으로
112,112,그 맑고 환한 밤중에,그 맑고 환한 밤중에,2b,6월 8일,R.S.Willis,보통으로
113,108,그 어린 주 예수,그 어린 주 예수,4b,3월 4일,J. E. Sspilman,108
114,114,그 어린 주 예수,그 어린 주 예수,1b,3월 4일,J.R.Murray,보통으로
115,115,기쁘다 구주 오셨네,기쁘다 구주 오셨네,2#,2월 4일,G. F. Handel,조금빠르게
116,116,동방박사 세 사람,동방에서 박사들,1#,3월 8일,J.H.Hopkins,보통으로
117,117,만백성 기뻐하여라,만백성 기뻐하여라,1#, 4/4,Arr.by J. Stainer,조금빠르게
118,118,영광 나라 천사들아,영광 나라 천사들아,2b,4월 4일,H. T. Smart,조금빠르게
119,119,옛날 임금 다윗성에,옛날 임금 다윗성에,2#,4월 2일,찬송시,보통으로
120,120,오 베들레헴 작은 골,오 베들레헴 작은 골,1#,4월 4일,L.H.Redner,보통으로
