찬송가,새찬송가,찬송가 제목,새찬송가 제목,조표,박자,작곡자,속도
276,510,하나님의 진리 등대,하나님의 진리 등대,4b,3월 4일,P.P.Bliss,보통으로
277,499,흑암에 사는 백성들을 보라,흑암에 사는 백성들을 보라,4b,4월 4일,J.McGranahan,보통으로
278,220,사랑하는 주님 앞에,사랑하는 주님 앞에,3b,3월 2일,D.B.Towner,조금느리게
279,219,주 하나님의 사랑은,주 하나님의 사랑은,3#,4월 4일,G.W.Fink,보통으로
280,,생전에 우리가,생전에 우리가,1b,3월 4일,Arr.by L.Mason,92
281,229,아무 흠도 없고,아무 흠도 없고,3b,3월 4일,A.Chapin,보통으로
282,232,유월절 때가 이르매,유월절 때가 이르러,1b,2월 2일,H.K.Oliver,조금느리게
283,227,주 앞에 성찬 받기 위하여,주 앞에 성찬 받기 위하여,0,4월 4일,F.C.Arkinson,보통으로
284,198,주 예수 해변서,주 예수 해변서,3b,4월 4일,W.F.Sherwin,보통으로
285,228,오 나의 주님 친히 뵈오니,오 나의 주님 친히 뵈오니,3b,4월 4일,E.Dearle,보통으로
286,602,성부님께 빕니다,성부님께 빕니다,2#,4월 4일,The Parish Choir,보통으로
287,605,오늘 모여 찬송함은,오늘 모여 찬송함은,1#,4월 4일,L.V.Beethoven,조금빠르게
288,604,완전한 사랑,완전한 사랑,3b,4월 4일,J.Barnby,보통으로
289,610,고생과 수고가 지난 후,고생과 수고가 다 지난 후,1#,6월 4일,C.H.Gabriel,보통으로
290,479,괴로운 인생길 가는 몸이,괴로운 인생길 가는 몸이,3b,3월 4일,The Bristol Tune ,보통으로
291,606,날빛보다 더 밝은 천국,해보다 더 밝은 천국,1#,4월 4일,J.P.Webster,보통으로
292,607,내 본향 가는 길,내 본향 가는 길,1#,4월 4일,신편 찬송가,보통으로
293,480,천국에서 만나보자,천국에서 만나 보자,1#,4월 4일,Arr.I.G.Martin,보통으로
294,,친애한 이 죽으니,친애한 이 죽으니,1#,3월 4일,M.M.Wells,96
295,608,후일에 생명 그칠 때,후일에 생명 그칠 때,3b,3월 4일,G.C.Sebbins,조금느리게
296,551,오늘까지 복과 은혜,오늘까지 복과 은혜,4b,4월 4일,Essay on the Church ,보통으로
297,554,종소리 크게 울려라,종소리 크게 울려라,3b,4월 4일,J.B.Calkin,보통으로
298,225,실로암 샘물가에 핀,실로암 샘물가에 핀,2#,3월 4일,I.B.Woodbury,보통으로
299,564,예수께서 오실 때에,예수께서 오실 때에,3b,3월 4일,G.F.Root,보통으로
300,565,예수께로 가면,예수께로 가면,2b,4월 4일,찬송시,조금빠르게
301,566,사랑의 하나님,사랑의 하나님,1#,4월 4일,J.S.Bach,보통으로
302,575,주님께 귀한 것 드려,주님께 귀한 것 드려,3b,3월 4일,C.A.Barnard,보통으로
303,574,가슴마다 파도친다,가슴마다 파도 친다,0,4월 4일,이동훈,보통으로
304,579,어머니의 넓은 사랑,어머니의 넓은 사랑,2#,4월 4일,구두회,보통으로
305,305,사철에 봄바람 불어 잇고,사철에 봄바람 불어 잇고,5b,3월 4일,구두회,보통으로
306,587,감사하는 성도여,감사하는 성도여,1b,4월 4일,G.J.Elvey,보통으로
307,588,공중 나는 새를 보라,공중 나는 새를 보라,1b,3월 2일,Arr.by Emmelar,보통으로
308,589,넓은 들에 익은 곡식,넓은 들에 익은 곡식,1#,6월 8일,J.B.O.Clemm,보통으로
309,590,논밭에 오곡백과,논밭에 오곡백과,2b,4월 4일,J.Steurlein,보통으로
310,591,저 밭에 농부 나가,저 밭에 농부 나가,4b,4월 4일,J.A.P.Schulz,조금빠르게
311,592,산마다 불이 찬다 고운 단풍에,산마다 불이 탄다 고운 단풍에,1#,6월 4일,박재훈,조금빠르게
312,593,묘한 세상 주시고,아름다운 하늘과,1#,4월 4일,C.Kocher,보통으로
313,524,갈 길을 밝히 보이시니,갈 길을 밝히 보이시니,2b,4월 4일,G.F.Root,보통으로
314,509,기쁜 일이 있어 천국 종 치네,기쁜 일이 있어 천국 종 치네,4b,4월 4일,G.F.Root,보통으로
315,525,돌아와 돌아와,돌아와 돌아와,3b,4월 4일,W.H.Doane,보통으로
316,526,목마른 자들아,목마른 자들아,0,4월 4일,S.Webbe,보통으로
317,527,어서 돌아오오,어서 돌아오오,1#,4월 4일,박재훈,보통으로
318,528,예수가 우리를 부르는 소리,예수가 우리를 부르는 소리,4b,6월 8일,W.L.Thompson,보통으로
319,529,온유한 주님의 음성,온유한 주님의 음성,4b,6월 8일,H.Lillenas,보통으로
320,530,주께서 문에 오셔서,주께서 문에 오셔서,3b,2월 2일,J.E.Gould,보통으로
321,531,자비한 주께서 부르시네,자비한 주께서 부르시네,2#,6월 8일,G.C.Stebbins,보통으로
322,,주께로 나오라,주께로 나오라,2b,4월 4일,F.C.Masker,96
323,532,주께로 한 걸음씩,주께로 한 걸음씩,4b,6월 8일,W.H.Doane,보통으로
324,534,주님 찾아오셨네,주님 찾아오셨네,1b,3월 4일,C.L.Naylor,보통으로
325,535,주 예수 대문 밖에,주 예수 대문 밖에,3b,4월 4일,J.H.Knecht,보통으로
326,536,죄짐에 눌린 사람은,죄짐에 눌린 사람은,1#,4월 4일,J.H.Stockton,보통으로
327,538,죄짐을 지고서 곤하거든,죄짐을 지고서 곤하거든,4b,6월 8일,L.N.Morris,보통으로
328,512,천성 길을 버리고,천성 길을 버리고,0,3월 4일,J.McGranahan,보통으로
329,537,형제여 지체 말라,형제여 지체 말라,3#,6월 8일,G.F.Root,보통으로
330,272,고통의 멍에 벗으려고,고통의 멍에 벗으려고,4b,6월 4일,G.C.Stebbins,보통으로
331,331,나 주를 멀리 떠났다,나 주를 멀리 떠났다,4b,4월 4일,W.J.Kirkparick,96
332,274,나 행한 것 죄뿐이니,나 행한 것 죄뿐이니,4b,3월 4일,F.H.Byshe,보통으로
333,275,날마다 주와 버성겨,날마다 주와 버성겨,2#,3월 4일,B.D.Ackley,보통으로
334,276,아버지여 이 죄인을,아버지여 이 죄인을,2b,4월 4일,J.Zundel,조금빠르게
335,277,양 떼를 떠나서,양 떼를 떠나서,1b,6월 8일,J.Zundel,보통으로
336,278,여러 해 동안 주 떠나,여러 해 동안 주 떠나,1#,6월 8일,R.Lowry,보통으로
337,279,인애하신 구세주여,인애하신 구세주여,4b,4월 4일,W.H.Doane,조금빠르게
338,280,천부여 의지 없어서,천부여 의지 없어서,1b,4월 4일,W.Shield,보통으로
339,282,큰 죄에 빠진 날 위해,큰 죄에 빠진 날 위해,2#,3월 4일,W.B.Bradbury,보통으로
340,542,구주 예수 의지함이,구주 예수 의지함이,4b,4월 4일,W.J.Kirkparick,보통으로
341,312,너 하나님께 이끌리어,너 하나님께 이끌리어,2b,3월 4일,G.Neumark,보통으로
342,543,어려운 일 당할 때,어려운 일 당할 떄,1#,6월 8일,I.D.Sankey,보통으로
343,544,울어도 못하네,울어도 못하네,3b,4월 4일,R.Lowry,조금빠르게
344,545,이 눈에 아무 증거 아니 뵈어도,이 눈에 아무 증거 아니 뵈어도,4b,4월 4일,R.Lowry,조금빠르게
345,,주 하나님 늘 믿는 자,주 하나님 늘 믿는 자,2#,4월 4일,Arr.by J.S.Bach,96
346,211,값비싼 향유를 주께 드린,값 비싼 향유를 주께 드린,4b,4월 4일,E.P.Parker,보통으로
347,212,겸손히 주를 섬길 때,겸손히 주를 섬길 때,3b,3월 4일,H.P.Smith,보통으로
348,213,나의 생명드리니,나의 생명 드리니,1#,3월 4일,W.A.Mozart,보통으로
349,214,나 주의 도움 받고자,나 주의 도움 받고자,3b,6월 8일,I.D.Sankey,보통으로
350,320,나의 죄를 정케하사,나의 죄를 정케 하사,3#,3월 4일,A.R.Gibbs,보통으로
351,321,날 대속하신 예수께,날 대속하신 예수께,1b,3월 4일,C.R.Dunbar,보통으로
352,313,내 임금 예수 내 주여,내 임금 예수 내 주여,1#,6월 8일,J.R.Sweney,보통으로
353,317,내 주 예수 주신 은혜,내 주 예수 주신 은혜,0,3월 4일,E.O.Excell,보통으로
354,215,내 죄 속해 주신 주께,내 죄 속해 주신 주께,1b,4월 4일,A.Hull,보통으로
355,323,부름받아 나선 이 몸,부름받아 나선 이 몸,4b,3월 4일,이유선,보통으로
356,216,성자의 귀한 몸,성자의 귀한 몸,1#,4월 4일,R.Lowry,보통으로
357,322,세상의 헛된 신을 버리고,세상의 헛된 신을 버리고,3b,4월 4일,E.Dealre,보통으로
358,552,아침 해가 돋을 때,아침 해가 돋을 때,1#,3월 4일,찬,보통으로
359,325,예수가 함께 계시니,예수가 함께 계시니,3b,9월 8일,C.F.Wigele,보통으로
360,324,예수 나를 오라 하네,예수 나를 오라 하네,1b,4월 4일,J.S.Norris,조금빠르게
361,327,주의 주신 화평,주님 주실 화평,3b,3월 4일,E.A.Hoffman,보통으로
362,217,하나님이 말씀하시기를,하나님이 말씀하시기를,1b,3월 8일,W.J.Kirkparick,보통으로
363,337,내 모든 시험 무거운 짐을,내 모든 시험 무거운 짐을,2#,9월 8일,E.A.Hoffman,보통으로
364,338,내 주를 가까이하게 함은,내 주를 가까이하게 함은,1#,6월 8일,L.Mason,보통으로
365,339,내 주의 지신 십자가,내 주님 지신 십자가,4b,6월 4일,G.N.Allen,보통으로
366,340,어지러운 세상 중에,어지러운 세상 중에,3b,6월 4일,S.Jenks,보통으로
367,341,십자가를 내가 지고,십자가를 내가 지고,4b,4월 4일,W.A.Mozart,보통으로
368,326,내 죄를 회개하고,내 죄를 회개하고,4b,4월 4일,Songs young people,보통으로
369,218,네 맘과 정성을 다하여서,네 맘과 정성을 다하여서,3b,3월 4일,곽상수,보통으로
370,330,어둔밤 쉬 되리니,어둔 밤 쉬 되리니,1b,4월 4일,L.Mason,조금빠르게
371,580,삼천리 반도 금수강산,삼천리 반도 금수강산,1b,4월 4일,Arr.G.Donizetti,조금빠르게
372,595,내 맡은 본분은,나 맡은 본분은,4b,3월 2일,J.Chetham's,보통으로
373,503,세상 모두 사랑 없어,세상 모두 사랑 없어,1#,3월 4일,E.O.Excell,보통으로
374,328,너 주의 사람아,너 주의 사람아,2b,4월 4일,W.H.Walter,조금빠르게
375,331,영광을 받으신 만유의 주여,영광을 받으신 만유의 주여,3b,6월 8일,G.C.Stebbins,보통으로
376,450,내 평생 소원 이것뿐,내 평생 소원 이것뿐,4b,3월 2일,C.G.Glaser,보통으로
377,449,예수 따라가며,예수 따라가며,1b,3월 4일,W.H.Doane,보통으로
378,597,이전에 주님을 내가 몰라,이전에 주님을 내가 몰라,1b,3월 4일,이유선,보통으로
379,204,주의 말씀 듣고서,주의 말씀 듣고서,3b,6월 8일,P.P.Bliss,보통으로
380,,내 마음 주께 드리니,내 마음 주께 드리니,4b,3월 2일,W.H.Havergal,84
381,333,충성하라 죽도록,충성하라 죽도록,1#,4월 4일,Old Melody,조금빠르게
382,347,허락하신 새 땅에,허락하신 새 땅에,2b,4월 4일,P.P.Bilhorn,조금빠르게
383,336,환난과 핍박 중에도,환난과 핍박 중에도,1#,3월 4일,H.F.Hemy,보통으로
384,585,내 주는 강한 성이요,내 주는 강한 성이요,0,4월 4일,M.Luther,보통으로
385,,군기를 손에 높이 들고,군기를 손에 높이 들고,2b,9월 8일,J.R.Sweney,80
386,355,차게 일어나,다 같이 일어나,2b,4월 4일,Arr. from J.Goss,조금빠르게
387,349,나는 예수 따라가는,나는 예수 따라가는,2b,6월 4일,L.N.Morris,보통으로
388,348,마귀들과 싸울지라,마귀들과 싸울지라,0,4월 4일,T.A. Melody,조금빠르게
389,351,믿는 사람들은 군병 같으니,믿는 사람들은 주의 군사니,3b,4월 4일,A.S.Sullivan,조금빠르게
390,352,십자가 군병들아,십자가 군병들아,2b,4월 4일,G.J.Webb,조금빠르게
391,353,십자가 군병 되어서,십자가 군병 되어서,2#,4월 4일,I.D.Sankey,조금빠르게
392,,예수의 이름 힘입어서,예수의 이름 힘입어서,3b,4월 4일,W.S.Martin,104
393,350,우리들의 싸울 것은,우리들의 싸울 것은,1#,2월 4일,Anonymous,조금빠르게
394,354,주를 앙모하는 자,주를 앙모하는 자,2#,4월 4일,신정 찬송가,조금빠르게
395,342,너 시험을 당해,너 시험을 당해,4b,6월 8일,H.R.Palmer,보통으로
396,356,주 예수 이름 소리 높여,주 예수 이름 소리 높여,2#,4월 4일,신편 찬송가,조금빠르게
397,357,주 믿는 사람 일어나,주 믿는 사람 일어나,3b,6월 8일,I.D.Sankey,조금빠르게
398,346,주 예수 우리 구하려,주 예수 우리 구하려,2b,4월 4일,H.S.Cutler,조금빠르게
399,546,주의 약속하신 말씀 위에서,주님 약속하신 말씀 위에서,2b,4월 4일,R.K.Carter,조금빠르게
400,358,주의 진리 위해 십자가 군기,주의 진리 위해 십자가 군기,4b,4월 4일,J.McGranahan,조금빠르게
401,359,천성을 향해 가는 성도들아,천성을 향해 가는 성도들아,2b,4월 4일,R.Lowry,조금빠르게
402,360,행군 나팔 소리로,행군 나팔 소리로,3b,4월 4일,D.B.Towner,조금빠르게
403,303,나 위하여 십자가의,날 위하여 십자가의,1#,3월 2일,R.Lowry,보통으로
404,304,그 크신 하나님의 사랑,그 크신 하나님의 사랑,2#,3월 4일,F.M.Lehman,보통으로
405,305,나 같은 죄인 살리신,나 같은 죄인 살리신,1#,3월 4일,Arr.by.E.O.Excell,보통으로
406,400,내 맘이 낙심되며,내 맘이 낙심되며,2b,6월 8일,J.B.Evans,보통으로
407,,그 영원하신 사랑은,그 영원하신 사랑은,3b,3월 4일,Arr. W.V.Wallace,76
408,302,내 주 하나님 넓고 큰 은혜는,내 주 하나님 넓고 큰 은혜는,2#,4월 4일,R.K.Cater,보통으로
409,309,목마른 내 영혼,목마른 내 영혼,1b,4월 4일,H.L.Gilmour,보통으로
410,310,아 하나님의 은혜로,아 하나님의 은혜로,3b,4월 4일,J.McGranahan,보통으로
411,563,예수 사랑하심은,예수 사랑하심을,3b,2월 4일,W.B.Bradbury,보통으로
412,290,우리는 주님을 늘 배반하나,우리는 주님을 늘 배반하나,1#,4월 4일,L.D.Sakey,보통으로
413,291,외롭게 사는 이 그 누군지,외롭게 사는 이 그 누군가,3b,3월 4일,W.S.Martin,보통으로
414,293,주의 사랑 비칠 때에,주의 사랑 비췰 때에,5b,6월 8일,W.J.Kirkparick,보통으로
415,292,주 없이 살 수 없네,주 없이 살 수 없네,1#,4월 4일,S.Ferreti,조금빠르게
416,294,하나님은 외아들을,하나님의 외아들은,2b,6월 4일,Sambika,보통으로
417,295,큰 죄에 빠진 나를,큰 죄에 빠진 나를,2b,3월 4일,L.N.Morris,보통으로
418,299,하나님 사랑은,하나님 사랑은,1b,3월 4일,R.Jackson,보통으로
419,371,구주여 광풍이 일어,구주여 광풍이 일어,2b,6월 8일,H.R.Palmer,보통으로
420,372,그 누가 나의 괴롬 알며,그 누가 나의 괴롬 알며,1#,4월 4일,Negro Sprirual,보통으로
421,375,나는 갈길 모르니,나는 갈 길 모르니,4b,4월 4일,J.E.Gould,보통으로
422,376,나그네와 같은 내가,나그네와 같은 내가,2#,3월 4일,T.Hastings,보통으로
423,374,나의 믿음 약할 때,나의 믿음 약할 때,1b,4월 4일,R.Harkness,조금빠르게
424,380,나의 생명 되신 주,나의 생명 되신 주,4b,3월 4일,W.H.Doane,조금느리게
425,381,나 캄캄한 밤 죄의 길에,나 캄캄한 밤 죄의 길에,3b,4월 4일,W.S.Weeden,보통으로
426,,날 위하여 날 위하여,날 위하여 날 위하여,1b,4월 4일,C.C.Converse,96
427,191,내가 매일 기쁘게,내가 매일 기쁘게,4b,4월 4일,D.M.Shanks,조금빠르게
428,,내가 환난 당할 때에,내가 환난 당할 때에,0,3월 4일,J.H.Willcox,80
429,379,내 갈 길 멀고 밤은 깊은데,내 갈 길 멀고 밤은 깊은데,4b,3월 4일,J.B.Dykes,조금느리게
430,378,내 선한 목자,내 선한 목자,2b,2월 4일,Thuringian Filk Song,보통으로
431,549,내 주여 뜻대로,내 주여 뜻대로,3b,4월 4일,C.M.von Weber,보통으로
432,382,너 근심 걱정 말아라,너 근심 걱정 말아라,2b,6월 8일,W.S.Martin,44
433,383,눈을 들어 산을 보니,눈을 들어 산을 보니,2#,3월 4일,T.A. Melody,보통으로
434,384,나의 갈길 다 가도록,나의 갈 길 다 가도록,1#,3월 4일,R.Lowry,보통
435,385,못 박혀 죽으신,못 박혀 죽으신,3b,4월 4일,l.Mason,조금느리게
436,567,다정하신 목자 예수,다정하신 목자 예수,4b,4월 4일,C.A.Barnard,보통으로
437,,주 나의 목자 되시니,주 나의 목자 되시니,1#,3월 4일,W.Gardiner,96
438,71,예부터 도움 되시고,예부터 도움 도시고,0,4월 4일,W.Croft,보
439,386,만세반석 열린 곳에,만세 반석 열린 곳에,3b,3월 2일,W.W.Benty,보통으로
440,387,멀리 멀리 갔더니,멀리 멀리 갔더니,1#,3월 4일,W.G.Fischer,보통으로
441,388,비바람 칠 때와,비바람이 칠 때와,1b,6월 4일,S.B.Marsh,보통으로
442,569,선한 목자 되신 우리 주,선한 목자 되신 우리 주,3b,4월 4일,W.B.Bradbury,조금빠르게
443,343,시험받을 때에,시험받을 때에,0,4월 4일,S.Lane,보통으로
444,390,예수가 거느리시니,예수가 거느리시니,5b,4월 4일,W.B.Bradbury,보통으로
445,,오 나의 하나님,오 나의 하나님,1b,4월 4일,Meiningen,96
446,391,오 놀라운 구세주,오 놀라운 구세주,2#,6월 8일,W.J.Kirkparick,보통으로
447,393,오 신실하신 주,오 신실하신 주,3b,3월 4일,W.M.Runyan,보통으로
448,447,이 세상 끝날까지,이 세상 끝날까지,1#,4월 4일,A.H.Mann,보통으로
449,394,이 세상의 친구들,이 세상의 친구들,4b,4월 4일,A.A.Luther,보통으로
450,395,자비하신 예수여,자비하신 예수여,0,3월 4일,J.P.Holbrook,조금느리게
451,377,전능하신 여호와여,전능하신 주 하나님,1#,4월 4일,J.Hughes,조금빠르게
452,81,주는 귀한 보배,주는 귀한 보배,3b,4월 4일,J.Cruger,보통으로
453,570,주는 나를 기르시는 목자,주는 나를 기르시는 목자,1#,4월 4일,장수철,보통으로
454,397,주 사랑 안에 살면,주 사랑 안에 살면,3b,4월 4일,Harm.by D.Evans,보통으로
455,370,주 안에 있는 나에게,주 안에 있는 나에게,1#,6월 8일,W.J.Kirkparick,보통으로
456,430,주와 같이 길 가는 것,주와 같이 길 가는 것,3b,4월 4일,A.B.Simpson,조금빠르게
457,401,주의 곁에 있을 때,주의 곁에 있을 때,0,4월 4일,F.M.Davis,보통으로
458,405,주의 친절한 팔에 안기세,주의 친절한 팔에 안기세,4b,4월 4일,A.J.Showalter,조금빠르게
459,,지금까지 지내 온 것,지금까지 지내 온 것,2#,3월 4일,J.Wyeth,92
460,301,지금까지 지내 온 것,지금까지 지내 온 것,3b,3월 4일,박재훈,보통으로
461,345,캄캄한 밤 사나온 바람 불 때,캄캄한 밤 사나운 바람 불 때,4#,6월 8일,이동훈,보통으로
462,432,큰 물결이 설레는 어둔 바다,큰 물결이 설레는 어둔 바다,3b,6월 4일,W.S.Nickel,보통으로
463,400,험한 시험 물속에서,험한 시험 물속에서,1b,4월 4일,C.Fisher,보통으로
464,406,곤한 내 영혼 편히 쉴 곳과,곤한 내 영혼 편히 쉴 곳과,4b,4월 4일,L.N.Morris,보통으로
465,407,구주와 함께 나 죽었으니,구주와 함께 나 죽었으니,1b,3월 4일,M.W.Moody,조금빠르게
466,408,나 어느 곳에 있든지,나 어느 곳에 있든지,1#,3월 4일,L.O.Brown,보통으로
467,,내게로 와서 쉬어라,내게로 와서 쉬어라,3b,6월 8일,Arr. B. B. Mckinney,48
468,410,내 맘에 한 노래 있어,내 맘에 한 노래 있어,4b,6월 8일,P.P.Bilhorn,보통으로
469,412,내 영혼의 그윽히 깊은 데서,내 영혼의 그윽히 깊은 데서,4b,6월 8일,W.G.Cooper,보통으로
470,413,내 평생에 가는 길,내 평생에 가는 길,5b,4월 4일,P.P.Bliss,조금빠르게
471,415,십자가 그늘 밑에,십자가 그늘 아래,5b,4월 4일,F.C.Masker,보통으로
472,,영광스럽도다 참된 평화는,영광스럽도다 참된 평화는,1b,4월 4일,J.Mountain,100
473,411,아 내 맘속에,아 내 맘속에,2#,3월 4일,A.S.Murphy,조금빠르게
474,486,이 세상에 근심된 일이 많고,이 세상에 근심된 일이 많고,1#,6월 4일,G.D.Moore,보통으로
475,414,이 세상은 요란하나,이 세상은 요란하나,1b,4월 4일,J.E.Sweeter,보통으로
476,417,주 예수 넓은 품에,주 예수 넓은 품에,1#,4월 4일,W.H.Doane,조금빠르게
477,404,바다에 놀이 치는 때,바다에 놀이 일 때에,3b,3월 4일,J.B.Dykes,보통으로
478,419,주 날개 밑 내가 편안히 쉬네,주 날개 밑 내가 편히 쉬네,0,6월 4일,I.D.Sankey,보통으로
479,363,내가 깊은 곳에서,내가 깊은 곳에서,0,3월 4일,D.S.Bortniansky,보통으로
480,361,기도하는 이 시간,기도하는 이 시간,3b,3월 4일,W.H.Doane,보통으로
481,362,주여 복을 주시기를,주여 복을 주시기를,4b,6월 8일,W.B.Bradbury,보통으로
482,364,내 기도하는 그 시간,내 기도하는 그 시간,5b,6월 8일,W.B.Bradbury,보통으로
483,539,너 예수께 조용히 나가,너 예수께 조용히 나가,3b,6월 8일,W.J.Kirkparick,보통으로
484,365,마음속에 근심 있는 사람,마음속에 근심 있는 사람,2b,4월 4일,E.S.Lorenz,조금빠르게
485,485,어두운 내 눈 밝히사,어두운 내 눈 밝히사,4b,6월 8일,C.H.Scott,보통으로
486,368,주 예수여 은혜를,주 예수여 은혜를,3b,6월 4일,신증복음가,보통으로
487,369,죄짐 맡은 우리 구주,죄 짐 맡은 우리 구주,1b,4월 4일,C.C.Converse,보통으로
488,488,내 영혼에 햇빛 비치니,내 영혼에 햇빛 비치니,4b,4월 4일,J.R.Sweney,112
489,429,세상 모든 풍파 너를 흔들어,세상 모든 풍파 너를 흔들어,3b,2월 4일,E.O.Excell,조금빠르게
490,433,귀하신 주여 날 붙드사,귀하신 주여 날 붙드사,5b,4월 4일,L.N.Morris,조금느리게
491,434,귀하신 친구 내게 계시니,귀하신 친구 내게 계시니,4b,4월 4일,Arr.A.B.Smith,보통으로
492,435,나의 영원하신 기업,나의 영원하신 기업,1#,3월 4일,S.J.Vail,보통으로
493,436,나 이제 주님의 새 생명 얻은 몸,나 이제 주님의 새 생명 얻은 몸,1b,3월 4일,박태준,보통으로
494,,나 죄 중에 헤매어,나 죄 중에 해매며,2b,6월 8일,C.H.Gabriel,52
495,438,내 영혼이 은총 입어,내 영혼이 은총 입어,4b,3월 4일,J.M.Black,보통으로
496,439,십자가로 가까이,십자가로 가까이,1b,6월 8일,W.H.Doane,조금느리게
497,440,어디든지 예수 나를 이끌면,어디든지 예수 나를 이끌면,0,6월 8일,D.B.Towner,보통으로
498,441,은혜 구한 내게 은혜의 주님,은혜 구한 내게 은혜의 주님,1b,6월 8일,A.B.Simpson,보통으로
499,442,저 장미꽃 위에 이슬,저 장미꽃 위에 이슬,4b,6월 8일,C.A.Miles,보통으로
500,446,주 음성 외에는,주 음성 외에는,4b,3월 4일,R.Lowry,보통으로
501,,주의 십자가 있는 데,주의 십자가 있는 데,0,6월 8일,P.P.Knapp,69
502,445,태산을 넘어 험곡에 가도,태산을 넘어 험곡에 가도,1#,9월 8일,G.H.Cook,보통으로
503,373,고요한 바다로,고요한 바다로,3b,3월 4일,A.Chapin,조금느리게
504,451,예수 영광 버리사,예수 영광 버리사,1b,4월 4일,U.C.Burmap,보통으로
505,452,내 모든 소원 기도의 제목,내 모든 소원 기도의 제목,2#,3월 4일,W.J.Kirkparick,보통으로
506,453,예수 더 알기 원함은,예수 더 알기 원하네,4b,6월 8일,J.R.Sweney,보통으로
507,455,주님의 마음을 본받는 자,주님의 마음을 본받는 자,2b,6월 4일,C.H.Gabriel,보통으로
508,454,주와 같이 되기를,주와 같이 되기를,2#,4월 4일,J.B.Dykes,보통으로
509,456,거친 세상에서 실패하거든,거친 세상에서 실패하거든,1b,4월 4일,B.B.Mckinney,보통으로
510,457,겟세마네 동산의,겟세마네 동산의,2b,3월 4일,T.Hastings,조금느리게
511,314,내 구주 예수를 더욱 사랑,내 구주 예수를 더욱 사랑,4b,4월 4일,W.H.Doane,보통으로
512,315,내 주되신 주를 참 사랑하고,내 주되신 주를 참 사랑하고,1b,4월 4일,A.J.Gordon,보통으로
513,458,너희 마음에 슬픔이 가득 차고,너희 마음에 슬픔이 가득할 때,4b,6월 8일,C.H.Gabriel,보통으로
514,459,누가 주를 따라,누가 주를 따라,2b,4월 4일,C.Reichadt,보통으로
515,460,뜻 없이 무릎 꿇는,뜻 없이 무릎 꿇는,2b,4월 4일,from D.Evans'Hymu,보통으로
516,427,맘 가난한 사람,맘 가난한 사람,4b,3월 4일,l.Mason,보통으로
517,462,생명 진리 은혜 되신,생명 진리 은혜 되신,1#,4월 4일,Traditional Dutch ,조금빠르게
518,463,신자 되기 원합니다,신자 되기 원합니다.,3b,4월 4일,Traditional Spirtual,보통으로
519,461,십자가를 질 수 있나,십자가를 질 수 있나,4b,4월 4일,H.S.Mason,보통으로
520,,주의 귀한 말씀을,주의 귀한 말씀을,1b,3월 4일,Har.R.V.Willams,108
521,586,어느 민족 누구게나,어느 민족 누구게나,4b,4월 2일,T.J.Willams,조금느리게
522,,주님이 가신 섬김의 길은,주님이 가신 섬김의 길은,1#,4월 4일,C.H.Laufer,108
523,465,나 형제를 늘 위해,주 믿는 나 남 위해,1b,4월 4일,J.Y.Peek,보토으
524,222,우리 다시 만날 때까지,우리 다시 만날 때까지,0,4월 4일,W.G.Tomer,보통으로
525,221,주 믿는 형제들,주 믿는 형제들,1b,3월 4일,J.K.G.Nageli,보통으로
526,,주 예수 안에 동서나,주 예수 안에 동서나,3b,4월 4일,A.R.Reinagle,96
527,,큰 은혜로 묶어주신,큰 은혜로 묶어 주신,4,3월 4일,S.B.Pond,108
528,471,주여 나의 병든 몸을,주여 나의 병든 몸을,4b,3월 4일,신증복음가,보통으로
529,,큰 무리 주를 에워싼 중에,큰 무리 주를 에워싼 중에,2#,6월 8일,G.F.Root,63
530,472,네 병든 손 내밀라고,네 병든 손 내밀라고,0,3월 4일,A.B.Simpson,보통으로
531,481,때 저물어 날 이미 어두니,때 저 물어 날 이미 어두니,3b,4월 4일,W.H.Monk,보통으로
532,483,구름 같은 이 세상,구름 같은 이 세상,4b,3월 4일,F.M.Davis,보통으로
533,484,내맘의 주여 소망되소서,내 맘의 주여 소망 되소서,3b, 3/4,Ttaditional Irish,보통으로
534,485,세월이 흘러가는데,세월이 흘러가는데,1#,3월 4일,G.F.Root,조금느리게
535,487,어두움 후에 빛이 오며,어두움 후에 빛이 오며,5b,3월 4일,I.D.Sankey,보통으로
536,,이 곤한 인생이,이 곤한 인생이,3b,3월 4일,A.Chapin,92
537,,엄동설한 지나가면,엄동설한 지나가면,1b,2월 4일,A.F.Harrison,104
538,,예루살렘 금성아,예루살렘 금성아,0,4월 4일,A.Ewing,104
539,488,이 몸의 소망 무엔가,이 몸의 소망 무엔가,1b,3월 4일,W.B.Bradbury,조금빠르게
540,,이 세상 지나가고,이 세상 지나고,1b,4월 4일,Arr. E.F.Rombault,96
541,489,저 요단강 건너편에,저 요단강 건너편에,2b,4월 4일,G.C.Tullar,96
542,490,주여 지난 밤 내 꿈에,주여 지난 밤 내 꿈에,4b,6월 8일,C.H.Gabriel,조금느리게
543,491,저 높은 곳을 향하여,저 높은 곳을 향하여,4b,3월 4일,C.H.Gabriel,보통으로
544,492,잠시 세상에 내가 살면서,잠시 세상에 내가 살면서,4b,4월 4일,C.H.Gabriel,보통으로
545,493,하늘가는 밝은 길이,하늘 가는 밝은 길이,0,4월 4일,Lady J.Scoot,조금느리게
